Ce05_ip21_572qic2127;Ce05_ip21_572aic2122;Ce05_ip21_572nic2085;Ce05_ip21_572tic2120;Ce05_ip21_572zi2602;Ce05_ip21_572zx2881e;Ce05_ip21_572pi2202;Ce05_ip21_572pi2207;Ce05_ip21_572pi2204;Ce05_ip21_572pi2212;Ce05_ip21_572pi2209;Ce05_ip21_572pi2214;Ce05_ip21_572pi2216;Ce05_ip21_572pic2223;Ce05_ip21_572pic2227;Ce05_ip21_572pi2228;Ce05_ip21_572pic2226;Ce05_ip21_572pi2233;Ce05_ip21_572pi2235;Ce05_ip21_572pi2241;Ce05_ip21_572pi2243;Ce05_ip21_572pi2206;Ce05_ip21_572pi2231;Ce05_ip21_572pi2238;Ce05_ip21_572fi2294;Ce05_ip21_572pi2244;Ce05_ip21_572pi2245;Ce05_ip21_572pi2246;Ce05_ip21_572pi2247;Ce05_ip21_572pi2253;Ce05_ip21_572pi2254;Ce05_ip21_572fi2292;Ce05_ip21_572fi2293;Ce05_ip21_572fi2296;Ce05_ip21_572fi2298;Ce05_ip21_572fi2297;Ce05_ip21_572fi2295;Ce05_ip21_572mic2990;Ce05_ip21_572ti2902;Ce05_ip21_572fi2901;Ce05_ip21_572pi2903;Ce05_ip21_572pic2904;Ce05_ip21_572tic2474;Ce05_ip21_572mic2911;Ce05_ip21_572TI2910;Ce05_ip21_572TI2912;Ce05_ip21_572TI2920;Ce05_ip21_572TI2905;Ce05_ip21_572PIC2906;Ce05_ip21_572PI2906;Ce05_l21_622ni572.0.23;Ce05_l21_622ni572.0.24;Ce05_l21_622ai581.0.8
1.199656217;5.228859536;2.928224125;65.88103329;59.01087068;179.9999484;-0.12226656;-2.887996331;-0.293865679;-6.432373681;-5.559787469;-8.206888112;-8.8790502;-15.69596538;-21.95419592;-28.81376906;-18.9171061;-22.89571426;-30.10887622;-36.15940503;-17.83565106;-17.24783019;-18.33369013;-33.34586015;345.4633642;-40.05119576;-59.0145763;-43.19149671;-16.69526089;-54.29599499;-45.74299377;569.918139;838.0386593;387.077398;524.178209;382.6960483;568.3516242;97.59780236;150.1335484;20.96593866;374.7197079;369.2260841;149.3734771;231.9974541;71.7576218;111.0935905;82.91841626;133.6913736;-35.38975998;-35.2761737;33;52.59999847;612
1.199648939;5.229618166;2.928390596;65.854776;59.0134704;179.9878274;-0.122541304;-2.886505188;-0.294035504;-6.473138871;-5.559484392;-8.209243565;-8.907334263;-16.11856387;-21.98023416;-28.84563426;-19.05018589;-22.97040422;-30.139524;-36.1457303;-17.86040485;-17.02949313;-18.39956817;-33.37841196;345.7868134;-40.03349092;-58.9510857;-43.20409859;-16.69974684;-54.30917704;-45.73763239;568.5013533;834.0679906;377.1182885;518.6379548;387.0936047;573.2162734;97.53746672;150.236658;21.34815529;382.0493139;376.2540504;149.6846874;231.089784;71.94589819;111.2427978;83.1849715;133.6917879;-35.23486874;-34.97844076;33;52.59999847;612
1.19964166;5.230376796;2.928557067;65.83183868;59.01607012;179.9332012;-0.122816049;-2.885014045;-0.294205328;-6.448991423;-5.559181316;-8.211599017;-8.903679735;-16.2586202;-21.98997621;-28.84107767;-19.04702227;-22.90095314;-30.08512973;-36.06905614;-17.84764496;-17.76051885;-18.35443312;-33.30175782;346.2808798;-40.04575219;-58.90882907;-43.21993058;-16.69789094;-54.24959206;-45.74357266;550.5368444;834.9479879;388.8325712;525.7040058;388.055807;571.8763389;97.42462673;150.7715238;20.99583379;388.3611392;382.9716499;150.3544752;232.7685496;72.13908357;111.3154215;83.43521915;133.7779771;-35.18870525;-35.02053008;33;52.59999847;612
1.199634382;5.231135426;2.928723539;65.78785033;59.01737077;180.0159547;-0.123090793;-2.883522903;-0.294375152;-6.442766064;-5.558878239;-8.21395447;-8.898228326;-15.94389667;-22.00273261;-28.74528557;-19.00481065;-22.94367568;-30.13086911;-36.13727733;-17.82867785;-17.59641916;-18.38479161;-33.36323703;348.8981633;-39.9584529;-58.94526894;-43.19729137;-16.65776394;-54.2547207;-45.7619146;566.7504039;834.947806;373.8072225;513.8353979;385.3274969;568.3599249;97.31470656;150.5900584;20.39694048;380.462614;375.6603504;150.1688853;234.1244273;72.28488381;111.3255495;83.74789391;133.8106163;-35.64308505;-36.33866951;33;52.59999847;612
1.199627103;5.231894055;2.92889001;65.76662029;58.98745661;180.0044845;-0.123748512;-2.88203176;-0.294544977;-6.441138964;-5.558575163;-8.216309923;-8.892776916;-15.76107241;-22.04603589;-28.8210756;-18.98742641;-23.00931881;-30.18815312;-36.20675035;-17.85299913;-17.7253715;-18.40139396;-33.42358369;347.7454075;-40.11929469;-58.88157846;-43.21052557;-16.72412189;-54.26693545;-45.7814768;549.2434895;833.7616979;377.5430759;517.3909603;374.4058501;570.8208508;97.34662703;150.3083829;20.86217168;380.1509276;374.7791185;149.8342387;230.0997236;72.44441579;111.202383;83.95850924;133.8285564;-35.63051392;-35.69483671;33;52.59999847;612
1.199619825;5.232652685;2.929056482;65.75365935;58.9724258;179.9528886;-0.125000344;-2.880540618;-0.294714801;-6.439511863;-5.558272086;-8.218665375;-8.888990204;-15.86517391;-22.02764662;-28.74330419;-18.9886648;-22.90636817;-30.12229068;-36.11069084;-17.82472388;-17.51687208;-18.38462126;-33.33399445;347.6562772;-40.01637631;-58.73780313;-43.16136275;-16.69092419;-54.18377527;-45.7289871;551.6985351;837.336981;387.6504963;541.2730811;381.7178802;571.8608833;97.33797406;150.3435137;20.76451761;381.383222;376.1885141;149.9083104;227.2104091;72.59338876;111.2194546;84.24176684;133.8483329;-35.56864949;-35.57750029;33;52.59999847;612
1.199612546;5.2334174;2.929222953;65.62756383;59.0074881;179.9479644;-0.12625899;-2.879049475;-0.294884626;-6.437884763;-5.55796901;-8.218684818;-8.90213894;-16.33340814;-22.02959202;-28.73688659;-19.08020724;-23.01741136;-30.20318034;-36.15902988;-17.85285799;-17.53116896;-18.46754246;-33.39829108;347.5395976;-40.06528172;-58.82968475;-43.13630529;-16.69741324;-54.25773519;-45.72445107;550.2081077;839.3450872;371.350647;526.9066409;382.9306447;570.2494521;97.33486339;150.2535973;20.31766833;376.4697482;371.6806498;149.8018129;233.2668521;72.68723724;111.2679184;84.44747607;133.8905834;-35.54453623;-36.25832538;33;52.59999847;612
1.199605268;5.237454591;2.929389424;65.6860501;58.98588586;179.9920074;-0.127517635;-2.877558333;-0.29505445;-6.436257663;-5.557665934;-8.212220083;-8.919133083;-16.16919686;-22.04060988;-28.77520323;-19.02404308;-22.96231384;-30.15919859;-36.12770829;-17.82671655;-17.24513989;-18.41798434;-33.36538974;349.0850316;-39.9890073;-58.88889513;-43.20385123;-16.67400445;-54.20637449;-45.70459771;564.593537;837.7779752;390.5188177;498.1260074;383.5030691;569.0304642;97.34447002;150.0709766;21.0174591;376.3464333;370.8461708;149.4215751;225.5634919;72.80334572;111.0563389;84.71085207;133.9112334;-35.86035902;-35.48030988;33;52.59999847;612
1.199597989;5.244240832;2.929555896;65.64670893;58.9885381;180.0009568;-0.12877628;-2.87606719;-0.295224274;-6.434630562;-5.553727843;-8.205375432;-8.918817608;-15.75457897;-22.0282168;-28.81122437;-19.00645639;-22.96755461;-30.19399949;-36.1960136;-17.84127571;-17.77776188;-18.42870783;-33.43136538;347.0983609;-40.07528531;-58.96530815;-43.18238532;-16.6921685;-54.22275675;-45.78335547;547.4597343;837.2141989;385.5665566;513.339987;387.3257218;571.3908568;97.33847246;150.2401169;20.81403597;380.042936;374.8859895;149.763442;233.2658963;72.89385548;111.1797665;84.87562275;133.9135179;-35.18343302;-35.47203709;33;52.59999847;612
1.199590711;5.251027073;2.929722367;65.66208376;58.9843144;179.9221418;-0.130034926;-2.874576047;-0.295394099;-6.423450661;-5.539603616;-8.198530782;-8.9103998;-15.86318158;-22.01190363;-28.75039853;-19.0650794;-22.98006002;-30.20129425;-36.16573672;-17.8842966;-17.31893383;-18.47788662;-33.41184582;347.4740665;-40.17987573;-52.44831445;-43.17798088;-16.55949317;-54.24015686;-45.72429238;562.2340969;835.6752531;380.9610282;528.4287633;381.6750712;568.9689094;97.33228291;150.2840965;20.7810458;380.4942354;375.250302;149.835324;234.5454793;73.03180644;111.3606855;85.11643053;133.9229882;-35.53847517;-35.79006922;33;52.59999847;612
